-464, -81, 12
-455, 26, 16
-453, 127, 20
-455, 226, 31
-455, 327, 17
-453, 425, 36
-356, -74, 34
-356, 21, 16
-346, 127, 35
-356, 225, 14
-347, 325, 36
-352, 425, 12
-251, -75, 18
-248, 29, 36
-249, 127, 19
-245, 226, 37
-248, 326, 20
-248, 423, 37
-149, -73, 34
-149, 28, 20
-149, 127, 32
-149, 224, 20
-149, 324, 35
-149, 424, 21
-50, -75, 0
-50, 25, 0
-52, 127, 21
-52, 225, 37
-51, 323, 36
-51, 421, 39
50, -75, 0
50, 25, 0
47, 124, 35
46, 226, 23
45, 323, 37
46, 424, 19
148, -74, 19
146, 30, 36
146, 126, 22
145, 227, 35
146, 322, 22
143, 425, 38
248, -73, 35
248, 28, 22
244, 127, 35
245, 225, 21
243, 327, 35
246, 422, 21
350, -75, 20
347, 27, 20
345, 127, 22
348, 228, 35
346, 326, 21
346, 425, 21
442, -68, 34
451, 26, 19
446, 126, 34
449, 225, 18
441, 326, 21
446, 425, 20
