-450, -75, 25
-450, 25, 25
-450, 125, 25
-450, 225, 38
-450, 325, 25
-450, 425, 38
-350, -75, 38
-350, 25, 25
-350, 125, 38
-350, 225, 25
-350, 325, 38
-350, 425, 25
-250, -75, 25
-250, 25, 38
-250, 125, 25
-250, 225, 38
-250, 325, 25
-250, 425, 38
-150, -75, 38
-150, 25, 25
-150, 125, 38
-150, 225, 25
-150, 325, 38
-150, 425, 25
-50, -75, 0
-50, 25, 0
-50, 125, 25
-50, 225, 38
-50, 325, 38
-50, 425, 38
50, -75, 0
50, 25, 0
50, 125, 38
50, 225, 25
50, 325, 38
50, 425, 25
150, -75, 25
150, 25, 38
150, 125, 25
150, 225, 38
150, 325, 25
150, 425, 38
250, -75, 38
250, 25, 25
250, 125, 38
250, 225, 25
250, 325, 38
250, 425, 25
350, -75, 25
350, 25, 25
350, 125, 25
350, 225, 38
350, 325, 25
350, 425, 25
450, -75, 38
450, 25, 25
450, 125, 38
450, 225, 25
450, 325, 25
450, 425, 25
